name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1058;0;1035;3143;1919;3143;1872;0
header;251;134;251;171;1940;171;1940;134
A;1086;210;1086;234;1104;234;1104;210
A;1627;884;1627;890;1634;890;1634;884
B;1086;896;1086;920;1103;920;1103;896
A;1573;967;1573;993;1587;993;1587;967
B;1055;1065;1055;1086;1071;1086;1071;1065
A;1800;1242;1800;1250;1808;1250;1808;1242
C;1077;1540;1077;1565;1096;1565;1096;1540
B;1051;1556;1051;1577;1068;1577;1068;1556
A;1058;1795;1058;1800;1064;1800;1064;1795
A;1063;1834;1063;1838;1067;1838;1067;1834
