name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1070;0;1047;3145;1897;3145;1826;0
header;245;145;245;179;1241;179;1241;145
A;1073;219;1073;240;1092;240;1092;219
D;1397;259;1397;289;1414;289;1414;259
B;1629;537;1629;557;1645;557;1645;537
B;1077;894;1077;918;1094;918;1094;894
A;1180;983;1180;988;1185;988;1185;983
A;1278;1429;1278;1449;1295;1449;1295;1429
C;1068;1539;1068;1564;1088;1564;1088;1539
B;1147;1554;1147;1583;1179;1583;1179;1554
A;1551;2003;1551;2033;1576;2033;1576;2003
D;1070;2152;1070;2177;1091;2177;1091;2152
A;1212;2196;1212;2196;1212;2196;1212;2196
A;1709;2310;1709;2315;1714;2315;1714;2310
B;1336;2836;1336;2863;1354;2863;1354;2836
A;1268;2958;1268;2959;1271;2959;1271;2958
A;1369;2961;1369;2962;1372;2962;1372;2961
